id,title,category,pdf_pages,role,summary,deliverables,tags,cover_asset_id,gallery_asset_ids,secondary_asset_ids,website_section_suggestion
profile,Roy Xiang Profile,Profile,[3],Brand & Growth Marketing Professional,"Personal profile covering brand, growth marketing, production, design, and AI-powered content operations across China and the Middle East.","[""Portfolio introduction"", ""Career narrative"", ""Professional positioning""]","[""profile"", ""marketing"", ""AI"", ""Middle East"", ""China""]",8cb5304fbf61be0d88bfd307d53e60bb0cb5d2ad,[],[],project card + short case section
gtm_hr_gen_ai_linkedin,HR Gen-AI Visual LinkedIn Project,GTM Campaign,[5],Regional content operations and Gen-AI visual workflow lead,"Implemented Gen-AI visual workflows for regional recruitment storytelling on LinkedIn, achieving a 40% lead conversion rate.","[""Recruitment key visuals"", ""LinkedIn post creatives"", ""AI-assisted image workflow""]","[""LinkedIn"", ""Gen-AI"", ""recruitment"", ""visual campaign""]",3ec50caba7236ed17cf72f61661caefb3fcc1b5a,"[""16fe5fd7854202ec3313342e7426dc2ef5bd8fdf"", ""dca2e63334fc42f0ced72d7138263c89ab53646c"", ""5c71991f5a4f6b01660695db9dc1520aab5f0997"", ""1a889d029e0ab5795dae7ffebcdad36f9b1b02c5"", ""5fe2c39a2f4aef38562a65f5175180edfe6dcb65"", ""c59ff0d431fe0460731828f8f5ee5ca98ad43e97"", ""3298f2d10a5f362f3a8fb271295debbd644bba31"", ""9fbd16ccd44267960a231ef6063275c000a2f14b"", ""abd29642dad0dc26042ce224844912ee2e3d7cd6"", ""46bae0ce0c4a43605cb88145741af82685c76014"", ""42bbbb6ceceeaaa919a15e7bceb3d90547f893df""]",[],project card + short case section
gtm_linkedin_creative_videos,LinkedIn Creative Videos,GTM Campaign,[6],End-to-end video producer,"Managed creative videos from storyboard to 4K cinematography, editing, and cinematic color grading for corporate communication.","[""Storyboard"", ""On-site shooting"", ""Post-production"", ""LinkedIn video posts""]","[""video"", ""LinkedIn"", ""production"", ""DaVinci Resolve""]",b0a9ec6077d91fab954e34cd3d73410d929f2b8d,"[""1be755256ded9e751e86cb9b8775e357f8497fe2"", ""2677573a899120b63747efab04ef5ca34d672b0f"", ""93d599265b375e21803d08a06173471632af2e87"", ""a5e91795e8e0d14e551e2a186b8840e220368573"", ""ab5d3f7ac76ae117c6802c6aa5cab12ead4f631a"", ""4e9ba3dfa8be5cfb07571ed1c9c08ea6a75c9199""]","[""d15fe79e7178671752761a0041d8495f915768c9""]",project card + short case section
gtm_adipec_exhibition,ADIPEC Exhibition,GTM Campaign,[7],Exhibition brand experience lead,"Orchestrated Anton’s ADIPEC brand presence across booth design, digital screen content, and VIP invitation systems.","[""Booth experience"", ""Digital screen content"", ""VIP invitation system"", ""Event communications""]","[""ADIPEC"", ""exhibition"", ""B2B"", ""brand experience""]",ac1224b87f2ffeb9dfadd4d132f2a9dedc2faba8,"[""6977ea1d50e490c40accb9b527d3d8e2e22b421e"", ""785f4377d8b0a0b5d1a0ad25dbac404177bd9000"", ""2f5e95a4d4a0f68b74f98ca7a1af72710a1472db"", ""a86115b6d732d7455a4c92cfbaacfc2941a1f1d4"", ""2063321bc1b6ba13ff1502b1abd5331652aa2f34""]",[],project card + short case section
gtm_csr_gen_ai,CSR Gen-AI Project,GTM Campaign,[8],Gen-AI visual workflow and card design lead,Created child-friendly HSE safety card visuals using a hybrid AI generation and Photoshop compositing workflow.,"[""Safety cards"", ""Custom illustrated icons"", ""Hybrid AI compositing workflow""]","[""CSR"", ""HSE"", ""Gen-AI"", ""Photoshop"", ""safety""]",fb634db6bd1a2489fdd31a00e1cc6c6c51f7b6ea,"[""a60107df8eceff92a4eb02fde8b3c4003a55fc32"", ""e93724d14b3f4b094a71cbf2c3de4cb281646ce5"", ""4507018995b4544488f67509c2b825228566cf58"", ""3fab820d786ff4a98825dc0143fdd1d518cf8d4a"", ""020a5c27d71fc3ebada80655ba13c59be95c3ebc"", ""a8d655dbbe4cbf0de6a7eb447f9c7971fec535f7"", ""4fdee3baae1e02b076532f28c2742566f2dedc80"", ""654eec17d908120684e2cdb099cf03c9134c41d7""]",[],project card + short case section
gtm_vivo_partnership,vivo 5-Year Strategic Partnership,GTM Campaign,[9],Strategic brand campaign partner,"Supported vivo’s hyper-growth through product launches, IP collaborations, entertainment integrations, and social platform campaigns.","[""Product launch campaigns"", ""IP collaborations"", ""Social content strategy"", ""Entertainment integrations""]","[""vivo"", ""mobile"", ""IP collaboration"", ""Xiaohongshu""]",da540127e9ab5fb0f72b81fdb38dd9e7cbbe08ed,"[""996964cd75b6d0cb8a92af3d652e0088bece4148"", ""e1e79bb15dc8130bbc412eecdc2361760465948f""]",[],project card + short case section
gtm_oppo_find_n5,OPPO Find N5 Foldable Flagship,GTM Campaign,[10],Product positioning and GTM strategist,"Defined premium naming, teaser strategy, and lifestyle positioning for OPPO’s foldable flagship.","[""Product positioning"", ""Visual identity"", ""Creative teaser"", ""GTM messaging""]","[""OPPO"", ""foldable"", ""GTM"", ""product marketing""]",b8a321e94e87135cdca467ace3d0e9c1e2889ae4,"[""ffc138de547713d141a47203a81984377abd05b9""]",[],project card + short case section
gtm_douyin_iqoo_5g,Douyin (TikTok) Viral Challenge - iQOO 5G Launch,GTM Campaign,[11],Viral social campaign strategist,Launched a gamified 5G challenge with brand music and influencer matrix to dominate short-video share of voice.,"[""Douyin challenge concept"", ""Brand music track"", ""Influencer matrix"", ""Short-video creative system""]","[""Douyin"", ""TikTok CN"", ""iQOO"", ""5G"", ""viral challenge""]",6cc69a7a25f50c660ef7bf1bb2ecb0fc7aa5f80e,"[""0a271cf1e732738028f0baa9f225bbf07851ba67"", ""bcc56385f695beb190935b1c3091b2a680962679"", ""26469de937b409abe1233020a18a919dbe3ec29b"", ""13073d269e97108e24404b01f59ac7b44210ea71"", ""99ded674b8edb12cc1e2ab350fb712256d81993b""]",[],project card + short case section
gtm_volvo_owned_platform,Volvo China - Branded Employee Engagement Platform,GTM Campaign,[12],Owned community platform operator,"Operated Volvo’s branded WeChat community platform to increase active users, penetration, and engagement.","[""WeChat community operations"", ""Content programming"", ""In-app optimization"", ""Performance reporting""]","[""Volvo"", ""WeChat"", ""community"", ""CRM"", ""engagement""]",45729db99c226679d4bfd455ce9909b20ded43fb,"[""d8e821e4e331aba8edf3e6b76b7cd283023988bc"", ""2face8f8c1b745f2ffc7a2be7a544f5bd399e6de"", ""6c2d3f75b3047a270edbdd2a2002ad668e382a51""]","[""48f2d4aaebc4dfd18bb07b7a0b287872e5eb1dfd"", ""c4cb6d60bf1aaafc8a817797d29b641e2dcb5ecc""]",project card + short case section
gtm_cityu_dual_seo,City University of HK - Dual-Engine SEO,GTM Campaign,[13],Bilingual SEO programme lead,Delivered a 12-month Google and Baidu SEO programme with bilingual editorial strategy and native Baidu content placement.,"[""Google SEO"", ""Baidu SEO"", ""Bilingual content calendar"", ""Performance optimization""]","[""CityU"", ""SEO"", ""Google"", ""Baidu"", ""education""]",abbf70aeb73d768f0c2607a8b447b9eb71166ae0,"[""fafd6636fc9ef951e0afb339cbab728997e6071a"", ""5d06d32ae8af4d9b689de8fe6b174df6858ce04d"", ""0437af0661c22ea04e00285c7873e38a1d94acf4""]",[],project card + short case section
